id,income-january,orders-january,clients-january,income-february,orders-february,clients-february,income-march,orders-march,clients-march,income-april,orders-april,clients-april,income-may,orders-may,clients-may,income-june,orders-june,clients-june,income-july,orders-july,clients-july,income-august,orders-august,clients-august,income-september,orders-september,clients-september,income-october,orders-october,clients-october,income-november,orders-november,clients-november,income-december,orders-december,clients-december
685,27300.10845,891,34,23251.48024,848,37,31281.34444,932,37,32371.56657,1046,37,37062.7835,1101,38,33824.76084,1100,39,33633.18355,1150,39,41200.92299,1129,39,39198.91469,1059,41,36079.45695,1127,44,43290.15886,1182,43,35344.35062,1191,45
686,19748.81577,802,37,21466.24307,820,37,20114.81911,761,36,23798.92407,936,38,24239.00274,972,38,23793.57571,891,36,26208.27027,989,38,33152.6251,1070,39,28113.16561,968,39,21839.39349,693,35,29323.97779,995,40,28610.14437,1018,43
687,22424.29539,886,37,24488.96221,949,38,25339.34382,987,38,30325.26996,1238,39,29410.89237,1243,39,30560.14878,1180,40,29783.59722,1235,40,36403.63718,1361,40,33609.90741,1185,40,29774.88832,1117,40,37018.71774,1369,42,40034.92237,1353,46
688,20111.4943,754,30,21060.95813,859,31,20869.36697,828,30,24580.86591,951,30,29149.6548,1184,32,23601.62434,911,32,26113.74631,983,32,32087.19219,1140,33,25986.97716,998,33,23633.95027,795,30,28082.55522,969,32,28458.53952,980,33
689,18055.70139,741,33,19614.42713,841,34,20377.55677,796,33,21611.25962,882,32,24115.98867,1014,34,21603.71267,878,33,21014.17216,912,33,28904.98008,1034,34,24237.40499,887,34,19755.09847,670,33,26802.6794,901,34,26207.51908,927,36
690,19264.20732,698,30,27679.18438,759,31,38436.95641,1095,33,31850.04528,1002,33,34250.73599,1105,32,36107.76424,1052,35,40716.04368,1070,37,46124.06865,1323,36,42704.41107,1184,38,33351.90038,923,38,36940.185,1045,36,43619.53499,1110,37
691,22131.79238,833,34,22380.88932,858,35,23342.56315,848,36,22424.37169,843,33,24321.57659,976,35,24602.46132,937,36,23467.42441,953,37,28126.01229,1075,36,23523.81887,922,36,24386.33348,726,35,26597.68666,990,40,27731.70725,1060,38
692,16815.2259,624,24,17470.21524,622,26,21366.64553,690,26,21523.24464,765,22,20945.26496,834,26,22683.1504,782,26,23405.73706,825,26,27409.4479,875,26,24802.72727,797,25,16441.14493,541,24,19933.68081,671,26,24347.63428,836,28
693,77051.77154,1068,27,106120.5556,1152,27,52379.70838,910,27,79412.67003,1191,27,69109.71871,1139,28,88430.89637,1120,28,81455.31391,1010,28,114997.1547,1123,30,158259.9712,1366,28,91359.14088,757,29,86227.39235,1260,29,69217.51752,935,30
694,27554.69708,932,31,26061.37168,913,30,27155.76124,829,30,30780.76478,1035,31,36121.90989,1209,37,38380.59202,1220,37,32960.07162,1217,37,41911.16718,1269,36,36279.44092,1252,37,27119.49835,893,36,40676.38246,1313,36,38437.16768,1159,35
695,22059.08911,837,31,23901.34141,860,32,20002.44117,761,30,30912.06758,1124,31,29985.87296,1132,31,27964.30073,1012,31,25789.22103,1053,29,32246.19687,1153,32,33018.84323,1001,30,31970.62409,894,28,35042.83553,1125,32,29864.17756,1059,32
696,15793.16803,609,24,17875.56786,646,26,14330.50187,536,26,20300.79882,732,26,20811.35196,791,27,21770.86675,742,25,17420.56658,697,27,22267.11646,774,28,20775.7937,788,28,17018.74292,666,28,20110.11815,759,29,19983.26761,796,28
697,16441.56693,711,25,17700.67933,659,27,20060.94401,724,27,20628.24286,785,28,23688.84615,937,29,29101.51554,859,28,21424.38113,865,28,25177.93958,859,29,24683.52289,853,29,23345.03396,796,30,22673.92334,828,30,22684.70799,766,32
698,19371.48151,692,24,17190.80664,638,25,19977.94369,710,25,18821.2574,706,24,21985.72896,753,28,21304.06822,744,27,23880.15213,770,28,26815.43962,896,27,23891.88119,822,28,29174.3159,628,28,27429.14322,951,31,26455.47034,942,32
