id,income,clients
212,0,0
213,33585896.85,261
214,137685582.3,1234
215,353737199.5,3314
216,148486184.7,1408
217,157976756,1369
218,308445874.3,3204
219,143893631.4,1196
220,450602804.4,4025
221,425205563.7,3460
222,62936584.08,511
223,16228646.99,96
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,138668189.3,1178
236,224044630.2,1799
237,380268667.2,3117
238,312784038.4,2505
239,324329872.2,2955
240,301533743,2866
241,250136721.7,2144
242,335484606.4,2599
243,357728857.1,3193
244,449028311.4,3976
245,205340309.1,1860
246,50740194.85,547
247,0,0
248,0,0
249,0,0
250,0,0
251,0,0
252,0,0
253,2445262.495,19
254,0,0
255,0,0
256,0,0
257,74691895.19,449
258,235221174.5,1698
259,409905987.3,2905
260,306964873.2,2731
261,96970958.41,933
262,98137197.81,651
263,325320096.1,2667
264,383962000.5,2947
265,260885441.1,2155
266,321432209.8,2706
267,220731550.3,2095
268,259296323.7,2158
269,66123396.42,655
270,0,0
271,0,0
272,0,0
273,0,0
274,0,0
275,0,0
276,0,0
277,0,0
278,0,0
279,0,0
280,44389536.87,302
281,291707467.7,1814
282,107643428.6,820
283,113114654.3,933
284,215373329.4,2133
285,419339362.8,2884
286,275586931.9,2745
287,244228379.5,2842
288,252048911.9,2707
289,274810748.2,2743
290,351690397.5,3180
291,458531822.8,3522
292,250544575.8,1768
293,4725595.171,37
294,0,0
295,0,0
296,0,0
297,0,0
298,0,0
299,0,0
300,0,0
301,0,0
302,9569661.748,78
303,294267349.7,1621
304,152385423.4,1054
305,212829890.2,1745
306,221223521.3,1709
307,367982029.6,2323
308,565551340.8,1403
309,187648136,1682
310,219278268.8,2082
311,209115059.8,1952
312,349592980.2,3268
313,637208132.2,5264
314,674436661.9,5145
315,495519417.3,4434
316,15600766.64,150
317,0,0
318,0,0
319,0,0
320,0,0
321,0,0
