id,clients,income
636,6,9716629.419
637,102,160983273.7
638,65,126003486.9
639,71,106886687.2
640,25,36112007.46
641,26,44732868.54
642,11,23343864.78
643,,
644,,
645,,
646,,
647,,
648,,
649,,
650,,
651,,
652,,
653,,
654,15,111534249.6
655,42,125576236.7
656,92,261998355.3
657,208,462659161.6
658,215,471707987.6
659,,
660,4,4560645.568
661,8,17277390.82
662,78,198224948.1
663,39,67761988.79
664,51,96174158.33
665,68,125778065.4
666,18,34788659.02
667,,
668,,
669,,
670,,
671,,
672,,
673,,
674,,
675,,
676,12,22481859.64
677,76,157375046
678,61,142175053.9
679,168,408578144.1
680,190,422740421.2
681,126,270791959.1
682,49,106143487.7
683,28,43257155.9
684,11,43146994.9
685,7,9571857.784
686,46,64605342.39
687,66,155091049.3
688,125,271380996.6
689,50,80599149.38
690,,
691,,
692,,
693,,
694,,
695,,
696,,
697,,
698,,
699,6,11412687.71
700,160,344743903.5
701,220,550042883.2
702,140,306746400.8
703,107,296692575.4
704,80,188068723.8
705,23,46875799.72
706,3,11236524.52
707,73,180665489.5
708,72,157468467.7
709,51,102971705
710,52,129762994.6
711,15,48776903.47
712,17,33317219.42
713,,
714,,
715,,
716,,
717,,
718,,
719,,
720,,
721,,
722,,
723,16,59044309.18
724,58,154317622.7
725,73,234674599.5
726,145,402398845.3
727,87,200883149.9
728,45,102518814.6
729,,
730,9,18609085.14
731,48,111121698.2
732,33,78626298.8
733,64,184081788.5
734,61,135274071.4
735,,
736,,
737,,
738,,
739,,
740,,
741,,
742,,
743,,
744,,
745,,
746,,
747,,
748,,
749,,
750,,
751,,
752,,
753,,
754,16,56477086.97
755,24,61766633.02
756,76,157345882
757,177,393106015.2
758,,
759,,
760,,
761,,
762,,
763,,
764,,
765,,
766,,
767,,
768,,
769,,
770,,
771,,
772,,
773,,
774,,
775,,
776,,
777,,
778,14,31756814.02
779,,
780,2,2112331.4
781,,
782,,
