id,mclients,mincome,morders,mclient1,mclient2,mclient3,mPtresclientes,tclients,tincome,torders,tclient1,tclient2,tclient3
674,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
675,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
676,8,2919.184613,0.15,78696,79102,79146,0.524147734,12,102732.2788,2.2,Foo,Bar,Baz
677,33,15712.13109,0.55,78563,79075,84824,0.362617735,76,713314.2301,13.975,Foo,Bar,Baz
678,53,282754.3634,4.4,89919,90089,90409,0.451370018,43,374185.2568,8.4,Foo,Bar,Baz
679,114,1172316.684,17.25,65944,66276,85222,0.167870357,61,346478.9199,5.925,Foo,Bar,Baz
680,35,11513.87441,0.5125,97962,98963,500801,0.211305401,136,274095.5971,7.0375,Foo,Bar,Baz
681,40,351356.1184,5.725,90097,90118,575667,0.344810338,61,310052.1839,4.475,Foo,Bar,Baz
682,34,12335.29838,0.55,69857,73143,73170,0.230098191,49,536370.6351,9.25,Foo,Bar,Baz
683,16,6524.394786,0.275,69560,69763,69777,0.348110078,27,205959.5952,4.9625,Foo,Bar,Baz
684,11,161573.3801,1.875,87605,87610,87629,0.545371714,0,0,0,Foo,Bar,Baz
685,7,36833.99066,1.1125,84359,84388,500297,0.757347589,0,0,0,Foo,Bar,Baz
686,18,133998.4029,3,76655,98776,576887,0.441323966,23,8449.408034,0.45,Foo,Bar,Baz
687,23,20972.45658,0.6125,88842,88950,559904,0.71476756,52,376207.0408,6.8875,Foo,Bar,Baz
688,99,523812.5588,10.0625,85820,87912,88642,0.263727534,92,675777.2903,13.825,Foo,Bar,Baz
689,49,356643.301,8.0625,85950,88031,581257,0.182930047,21,4177.350668,0.2625,Foo,Bar,Baz
690,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
691,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
692,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
693,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
694,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
695,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
696,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
697,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
698,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
699,3,1454.071226,0.0625,78969,79130,586610,1,6,52808.89061,1.3375,Foo,Bar,Baz
700,128,643793.2788,16.4375,87808,89665,90978,0.131202863,84,772098.9209,16.2125,Foo,Bar,Baz
701,164,1023496.546,19.575,83112,83123,521929,0.171680275,146,1110821.797,22.4875,Foo,Bar,Baz
702,56,564451.7839,6.675,90200,90329,561909,0.483067246,74,260428.0911,6.35,Foo,Bar,Baz
703,45,82017.46834,2.425,79265,79281,79298,0.438075123,77,557350.2781,10.1375,Foo,Bar,Baz
704,57,516106.4409,8.6875,79190,79451,79466,0.189871027,28,145646.3981,3,Foo,Bar,Baz
705,14,37913.78589,0.4875,66492,82780,99009,0.902635639,21,163829.9719,3.525,Foo,Bar,Baz
706,3,3251.768929,0.0375,574785,575024,575025,1,3,50432.86919,0.4875,Foo,Bar,Baz
707,67,360073.1546,6.475,87362,97888,500808,0.217211373,49,428737.1807,7.725,Foo,Bar,Baz
708,72,705507.7457,12.025,70585,71140,87583,0.24432097,0,0,0,Foo,Bar,Baz
709,3,23205.47728,0.725,70872,70941,70956,1,25,9589.96398,0.45,Foo,Bar,Baz
710,7,2264.797395,0.1125,90994,91023,91025,0.792354782,39,83799.10392,2.275,Foo,Bar,Baz
711,15,204173.6348,2.5875,88217,91013,566254,0.612614135,2,16664.86377,0.5,Foo,Bar,Baz
712,17,151126.2246,3.8875,88085,88114,88174,0.287879664,0,0,0,Foo,Bar,Baz
713,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
714,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
715,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
716,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
717,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
718,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
719,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
720,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
721,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
722,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
723,16,274986.2853,3.3875,88007,88517,559205,0.615639018,0,0,0,Foo,Bar,Baz
724,58,610496.3525,11.5875,88108,88318,565458,0.260979684,1,250.35,0.0125,Foo,Bar,Baz
725,68,910508.5041,11.7875,83636,83700,83710,0.239436709,10,93227.56409,1.9125,Foo,Bar,Baz
726,117,724552.2139,10.7375,87729,87900,87936,0.25492126,95,1075102.757,19.1,Foo,Bar,Baz
727,87,950334.8635,17.8625,66774,66860,67124,0.163328059,1,2118.228674,0.0125,Foo,Bar,Baz
728,40,210709.8803,4.8,66627,67021,97887,0.356819991,19,206423.4344,3.7125,Foo,Bar,Baz
729,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
730,4,6628.499479,0.175,87796,562957,562958,0.939171754,6,36328.71406,0.7375,Foo,Bar,Baz
731,5,47892.87492,0.675,71074,561584,608104,0.724597793,23,17008.67596,0.45,Foo,Bar,Baz
732,5,88584.58435,0.8375,86964,87051,570854,0.977639278,19,10189.52202,0.3375,Foo,Bar,Baz
733,63,1183541.247,12.5125,86034,86195,567347,0.222306969,0,0,0,Foo,Bar,Baz
734,60,807551.8955,11.8625,90990,500207,569242,0.187092389,27,32719.04606,0.6875,Foo,Bar,Baz
735,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
736,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
737,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
738,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
739,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
740,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
741,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
742,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
743,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
744,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
745,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
746,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
747,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
748,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
749,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
750,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
751,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
752,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
753,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
754,0,0,0,,,,0,10,10585.35959,0.2125,Foo,Bar,Baz
