Cuadrante,Longitud,Latitud,Longitud,Latitud,Longitud,Latitud,Longitud,Latitud
127,-74.1157285,4.516891,-74.1063085,4.516891,-74.1063085,4.526141,-74.1157285,4.526141
128,-74.1063085,4.516891,-74.0968885,4.516891,-74.0968885,4.526141,-74.1063085,4.526141
129,-74.0968885,4.516891,-74.0874685,4.516891,-74.0874685,4.526141,-74.0968885,4.526141
130,-74.0874685,4.516891,-74.0780485,4.516891,-74.0780485,4.526141,-74.0874685,4.526141
131,-74.0780485,4.516891,-74.0686285,4.516891,-74.0686285,4.526141,-74.0780485,4.526141
132,-74.0686285,4.516891,-74.0592085,4.516891,-74.0592085,4.526141,-74.0686285,4.526141
133,-74.0592085,4.516891,-74.0497885,4.516891,-74.0497885,4.526141,-74.0592085,4.526141
134,-74.0497885,4.516891,-74.0403685,4.516891,-74.0403685,4.526141,-74.0497885,4.526141
135,-74.0403685,4.516891,-74.0309485,4.516891,-74.0309485,4.526141,-74.0403685,4.526141
136,-74.0309485,4.516891,-74.0215285,4.516891,-74.0215285,4.526141,-74.0309485,4.526141
137,-74.0215285,4.516891,-74.0121085,4.516891,-74.0121085,4.526141,-74.0215285,4.526141
138,-74.0121085,4.516891,-74.0026885,4.516891,-74.0026885,4.526141,-74.0121085,4.526141
139,-74.2193485,4.526141,-74.2099285,4.526141,-74.2099285,4.535391,-74.2193485,4.535391
140,-74.2099285,4.526141,-74.2005085,4.526141,-74.2005085,4.535391,-74.2099285,4.535391
141,-74.2005085,4.526141,-74.1910885,4.526141,-74.1910885,4.535391,-74.2005085,4.535391
142,-74.1910885,4.526141,-74.1816685,4.526141,-74.1816685,4.535391,-74.1910885,4.535391
143,-74.1816685,4.526141,-74.1722485,4.526141,-74.1722485,4.535391,-74.1816685,4.535391
144,-74.1722485,4.526141,-74.1628285,4.526141,-74.1628285,4.535391,-74.1722485,4.535391
145,-74.1628285,4.526141,-74.1534085,4.526141,-74.1534085,4.535391,-74.1628285,4.535391
146,-74.1534085,4.526141,-74.1439885,4.526141,-74.1439885,4.535391,-74.1534085,4.535391
147,-74.1439885,4.526141,-74.1345685,4.526141,-74.1345685,4.535391,-74.1439885,4.535391
148,-74.1345685,4.526141,-74.1251485,4.526141,-74.1251485,4.535391,-74.1345685,4.535391
149,-74.1251485,4.526141,-74.1157285,4.526141,-74.1157285,4.535391,-74.1251485,4.535391
150,-74.1157285,4.526141,-74.1063085,4.526141,-74.1063085,4.535391,-74.1157285,4.535391
151,-74.1063085,4.526141,-74.0968885,4.526141,-74.0968885,4.535391,-74.1063085,4.535391
152,-74.0968885,4.526141,-74.0874685,4.526141,-74.0874685,4.535391,-74.0968885,4.535391
153,-74.0874685,4.526141,-74.0780485,4.526141,-74.0780485,4.535391,-74.0874685,4.535391
154,-74.0780485,4.526141,-74.0686285,4.526141,-74.0686285,4.535391,-74.0780485,4.535391
155,-74.0686285,4.526141,-74.0592085,4.526141,-74.0592085,4.535391,-74.0686285,4.535391
156,-74.0592085,4.526141,-74.0497885,4.526141,-74.0497885,4.535391,-74.0592085,4.535391
157,-74.0497885,4.526141,-74.0403685,4.526141,-74.0403685,4.535391,-74.0497885,4.535391
158,-74.0403685,4.526141,-74.0309485,4.526141,-74.0309485,4.535391,-74.0403685,4.535391
159,-74.0309485,4.526141,-74.0215285,4.526141,-74.0215285,4.535391,-74.0309485,4.535391
160,-74.0215285,4.526141,-74.0121085,4.526141,-74.0121085,4.535391,-74.0215285,4.535391
161,-74.0121085,4.526141,-74.0026885,4.526141,-74.0026885,4.535391,-74.0121085,4.535391
162,-74.2193485,4.535391,-74.2099285,4.535391,-74.2099285,4.544641,-74.2193485,4.544641
163,-74.2099285,4.535391,-74.2005085,4.535391,-74.2005085,4.544641,-74.2099285,4.544641
164,-74.2005085,4.535391,-74.1910885,4.535391,-74.1910885,4.544641,-74.2005085,4.544641
165,-74.1910885,4.535391,-74.1816685,4.535391,-74.1816685,4.544641,-74.1910885,4.544641
166,-74.1816685,4.535391,-74.1722485,4.535391,-74.1722485,4.544641,-74.1816685,4.544641
167,-74.1722485,4.535391,-74.1628285,4.535391,-74.1628285,4.544641,-74.1722485,4.544641
168,-74.1628285,4.535391,-74.1534085,4.535391,-74.1534085,4.544641,-74.1628285,4.544641
169,-74.1534085,4.535391,-74.1439885,4.535391,-74.1439885,4.544641,-74.1534085,4.544641
170,-74.1439885,4.535391,-74.1345685,4.535391,-74.1345685,4.544641,-74.1439885,4.544641
171,-74.1345685,4.535391,-74.1251485,4.535391,-74.1251485,4.544641,-74.1345685,4.544641
172,-74.1251485,4.535391,-74.1157285,4.535391,-74.1157285,4.544641,-74.1251485,4.544641
173,-74.1157285,4.535391,-74.1063085,4.535391,-74.1063085,4.544641,-74.1157285,4.544641
174,-74.1063085,4.535391,-74.0968885,4.535391,-74.0968885,4.544641,-74.1063085,4.544641
175,-74.0968885,4.535391,-74.0874685,4.535391,-74.0874685,4.544641,-74.0968885,4.544641
176,-74.0874685,4.535391,-74.0780485,4.535391,-74.0780485,4.544641,-74.0874685,4.544641
177,-74.0780485,4.535391,-74.0686285,4.535391,-74.0686285,4.544641,-74.0780485,4.544641
178,-74.0686285,4.535391,-74.0592085,4.535391,-74.0592085,4.544641,-74.0686285,4.544641
179,-74.0592085,4.535391,-74.0497885,4.535391,-74.0497885,4.544641,-74.0592085,4.544641
180,-74.0497885,4.535391,-74.0403685,4.535391,-74.0403685,4.544641,-74.0497885,4.544641
181,-74.0403685,4.535391,-74.0309485,4.535391,-74.0309485,4.544641,-74.0403685,4.544641
182,-74.0309485,4.535391,-74.0215285,4.535391,-74.0215285,4.544641,-74.0309485,4.544641
183,-74.0215285,4.535391,-74.0121085,4.535391,-74.0121085,4.544641,-74.0215285,4.544641
184,-74.0121085,4.535391,-74.0026885,4.535391,-74.0026885,4.544641,-74.0121085,4.544641
185,-74.2193485,4.544641,-74.2099285,4.544641,-74.2099285,4.553891,-74.2193485,4.553891
186,-74.2099285,4.544641,-74.2005085,4.544641,-74.2005085,4.553891,-74.2099285,4.553891
187,-74.2005085,4.544641,-74.1910885,4.544641,-74.1910885,4.553891,-74.2005085,4.553891
188,-74.1910885,4.544641,-74.1816685,4.544641,-74.1816685,4.553891,-74.1910885,4.553891
189,-74.1816685,4.544641,-74.1722485,4.544641,-74.1722485,4.553891,-74.1816685,4.553891
190,-74.1722485,4.544641,-74.1628285,4.544641,-74.1628285,4.553891,-74.1722485,4.553891
191,-74.1628285,4.544641,-74.1534085,4.544641,-74.1534085,4.553891,-74.1628285,4.553891
192,-74.1534085,4.544641,-74.1439885,4.544641,-74.1439885,4.553891,-74.1534085,4.553891
193,-74.1439885,4.544641,-74.1345685,4.544641,-74.1345685,4.553891,-74.1439885,4.553891
194,-74.1345685,4.544641,-74.1251485,4.544641,-74.1251485,4.553891,-74.1345685,4.553891
195,-74.1251485,4.544641,-74.1157285,4.544641,-74.1157285,4.553891,-74.1251485,4.553891
196,-74.1157285,4.544641,-74.1063085,4.544641,-74.1063085,4.553891,-74.1157285,4.553891
197,-74.1063085,4.544641,-74.0968885,4.544641,-74.0968885,4.553891,-74.1063085,4.553891
198,-74.0968885,4.544641,-74.0874685,4.544641,-74.0874685,4.553891,-74.0968885,4.553891
199,-74.0874685,4.544641,-74.0780485,4.544641,-74.0780485,4.553891,-74.0874685,4.553891
200,-74.0780485,4.544641,-74.0686285,4.544641,-74.0686285,4.553891,-74.0780485,4.553891
201,-74.0686285,4.544641,-74.0592085,4.544641,-74.0592085,4.553891,-74.0686285,4.553891
202,-74.0592085,4.544641,-74.0497885,4.544641,-74.0497885,4.553891,-74.0592085,4.553891
203,-74.0497885,4.544641,-74.0403685,4.544641,-74.0403685,4.553891,-74.0497885,4.553891
204,-74.0403685,4.544641,-74.0309485,4.544641,-74.0309485,4.553891,-74.0403685,4.553891
205,-74.0309485,4.544641,-74.0215285,4.544641,-74.0215285,4.553891,-74.0309485,4.553891
206,-74.0215285,4.544641,-74.0121085,4.544641,-74.0121085,4.553891,-74.0215285,4.553891
207,-74.0121085,4.544641,-74.0026885,4.544641,-74.0026885,4.553891,-74.0121085,4.553891
208,-74.2193485,4.553891,-74.2099285,4.553891,-74.2099285,4.563141,-74.2193485,4.563141
209,-74.2099285,4.553891,-74.2005085,4.553891,-74.2005085,4.563141,-74.2099285,4.563141
210,-74.2005085,4.553891,-74.1910885,4.553891,-74.1910885,4.563141,-74.2005085,4.563141
211,-74.1910885,4.553891,-74.1816685,4.553891,-74.1816685,4.563141,-74.1910885,4.563141
212,-74.1816685,4.553891,-74.1722485,4.553891,-74.1722485,4.563141,-74.1816685,4.563141
213,-74.1722485,4.553891,-74.1628285,4.553891,-74.1628285,4.563141,-74.1722485,4.563141
214,-74.1628285,4.553891,-74.1534085,4.553891,-74.1534085,4.563141,-74.1628285,4.563141
215,-74.1534085,4.553891,-74.1439885,4.553891,-74.1439885,4.563141,-74.1534085,4.563141
216,-74.1439885,4.553891,-74.1345685,4.553891,-74.1345685,4.563141,-74.1439885,4.563141
217,-74.1345685,4.553891,-74.1251485,4.553891,-74.1251485,4.563141,-74.1345685,4.563141
218,-74.1251485,4.553891,-74.1157285,4.553891,-74.1157285,4.563141,-74.1251485,4.563141
219,-74.1157285,4.553891,-74.1063085,4.553891,-74.1063085,4.563141,-74.1157285,4.563141
220,-74.1063085,4.553891,-74.0968885,4.553891,-74.0968885,4.563141,-74.1063085,4.563141
221,-74.0968885,4.553891,-74.0874685,4.553891,-74.0874685,4.563141,-74.0968885,4.563141
222,-74.0874685,4.553891,-74.0780485,4.553891,-74.0780485,4.563141,-74.0874685,4.563141
223,-74.0780485,4.553891,-74.0686285,4.553891,-74.0686285,4.563141,-74.0780485,4.563141
224,-74.0686285,4.553891,-74.0592085,4.553891,-74.0592085,4.563141,-74.0686285,4.563141
225,-74.0592085,4.553891,-74.0497885,4.553891,-74.0497885,4.563141,-74.0592085,4.563141
226,-74.0497885,4.553891,-74.0403685,4.553891,-74.0403685,4.563141,-74.0497885,4.563141
227,-74.0403685,4.553891,-74.0309485,4.553891,-74.0309485,4.563141,-74.0403685,4.563141
228,-74.0309485,4.553891,-74.0215285,4.553891,-74.0215285,4.563141,-74.0309485,4.563141
229,-74.0215285,4.553891,-74.0121085,4.553891,-74.0121085,4.563141,-74.0215285,4.563141
230,-74.0121085,4.553891,-74.0026885,4.553891,-74.0026885,4.563141,-74.0121085,4.563141
231,-74.2193485,4.563141,-74.2099285,4.563141,-74.2099285,4.572391,-74.2193485,4.572391
232,-74.2099285,4.563141,-74.2005085,4.563141,-74.2005085,4.572391,-74.2099285,4.572391
233,-74.2005085,4.563141,-74.1910885,4.563141,-74.1910885,4.572391,-74.2005085,4.572391
234,-74.1910885,4.563141,-74.1816685,4.563141,-74.1816685,4.572391,-74.1910885,4.572391
235,-74.1816685,4.563141,-74.1722485,4.563141,-74.1722485,4.572391,-74.1816685,4.572391
236,-74.1722485,4.563141,-74.1628285,4.563141,-74.1628285,4.572391,-74.1722485,4.572391
237,-74.1628285,4.563141,-74.1534085,4.563141,-74.1534085,4.572391,-74.1628285,4.572391
238,-74.1534085,4.563141,-74.1439885,4.563141,-74.1439885,4.572391,-74.1534085,4.572391
239,-74.1439885,4.563141,-74.1345685,4.563141,-74.1345685,4.572391,-74.1439885,4.572391
240,-74.1345685,4.563141,-74.1251485,4.563141,-74.1251485,4.572391,-74.1345685,4.572391
241,-74.1251485,4.563141,-74.1157285,4.563141,-74.1157285,4.572391,-74.1251485,4.572391
242,-74.1157285,4.563141,-74.1063085,4.563141,-74.1063085,4.572391,-74.1157285,4.572391
243,-74.1063085,4.563141,-74.0968885,4.563141,-74.0968885,4.572391,-74.1063085,4.572391
244,-74.0968885,4.563141,-74.0874685,4.563141,-74.0874685,4.572391,-74.0968885,4.572391
245,-74.0874685,4.563141,-74.0780485,4.563141,-74.0780485,4.572391,-74.0874685,4.572391
246,-74.0780485,4.563141,-74.0686285,4.563141,-74.0686285,4.572391,-74.0780485,4.572391
247,-74.0686285,4.563141,-74.0592085,4.563141,-74.0592085,4.572391,-74.0686285,4.572391
248,-74.0592085,4.563141,-74.0497885,4.563141,-74.0497885,4.572391,-74.0592085,4.572391
249,-74.0497885,4.563141,-74.0403685,4.563141,-74.0403685,4.572391,-74.0497885,4.572391
250,-74.0403685,4.563141,-74.0309485,4.563141,-74.0309485,4.572391,-74.0403685,4.572391
251,-74.0309485,4.563141,-74.0215285,4.563141,-74.0215285,4.572391,-74.0309485,4.572391
252,-74.0215285,4.563141,-74.0121085,4.563141,-74.0121085,4.572391,-74.0215285,4.572391
253,-74.0121085,4.563141,-74.0026885,4.563141,-74.0026885,4.572391,-74.0121085,4.572391
254,-74.2193485,4.572391,-74.2099285,4.572391,-74.2099285,4.581641,-74.2193485,4.581641
255,-74.2099285,4.572391,-74.2005085,4.572391,-74.2005085,4.581641,-74.2099285,4.581641
256,-74.2005085,4.572391,-74.1910885,4.572391,-74.1910885,4.581641,-74.2005085,4.581641
257,-74.1910885,4.572391,-74.1816685,4.572391,-74.1816685,4.581641,-74.1910885,4.581641
258,-74.1816685,4.572391,-74.1722485,4.572391,-74.1722485,4.581641,-74.1816685,4.581641
259,-74.1722485,4.572391,-74.1628285,4.572391,-74.1628285,4.581641,-74.1722485,4.581641
260,-74.1628285,4.572391,-74.1534085,4.572391,-74.1534085,4.581641,-74.1628285,4.581641
261,-74.1534085,4.572391,-74.1439885,4.572391,-74.1439885,4.581641,-74.1534085,4.581641
262,-74.1439885,4.572391,-74.1345685,4.572391,-74.1345685,4.581641,-74.1439885,4.581641
263,-74.1345685,4.572391,-74.1251485,4.572391,-74.1251485,4.581641,-74.1345685,4.581641
264,-74.1251485,4.572391,-74.1157285,4.572391,-74.1157285,4.581641,-74.1251485,4.581641
265,-74.1157285,4.572391,-74.1063085,4.572391,-74.1063085,4.581641,-74.1157285,4.581641
266,-74.1063085,4.572391,-74.0968885,4.572391,-74.0968885,4.581641,-74.1063085,4.581641
267,-74.0968885,4.572391,-74.0874685,4.572391,-74.0874685,4.581641,-74.0968885,4.581641
268,-74.0874685,4.572391,-74.0780485,4.572391,-74.0780485,4.581641,-74.0874685,4.581641
269,-74.0780485,4.572391,-74.0686285,4.572391,-74.0686285,4.581641,-74.0780485,4.581641
270,-74.0686285,4.572391,-74.0592085,4.572391,-74.0592085,4.581641,-74.0686285,4.581641
271,-74.0592085,4.572391,-74.0497885,4.572391,-74.0497885,4.581641,-74.0592085,4.581641
272,-74.0497885,4.572391,-74.0403685,4.572391,-74.0403685,4.581641,-74.0497885,4.581641
273,-74.0403685,4.572391,-74.0309485,4.572391,-74.0309485,4.581641,-74.0403685,4.581641
274,-74.0309485,4.572391,-74.0215285,4.572391,-74.0215285,4.581641,-74.0309485,4.581641
275,-74.0215285,4.572391,-74.0121085,4.572391,-74.0121085,4.581641,-74.0215285,4.581641
276,-74.0121085,4.572391,-74.0026885,4.572391,-74.0026885,4.581641,-74.0121085,4.581641
